category,mode,n_seeds,metric,mean,std,min,max
grid,k1,5,Pixel F1,0.1892,0.1142,0.0529,0.3176
grid,k1,5,Pixel PRO,0.6535,0.1582,0.4355,0.8349
grid,k2,6,Image AUROC,0.8837,0.0954,0.7318,0.9657
grid,k2,6,Image AP,0.9468,0.0513,0.8744,0.9898
grid,k2,6,Image F1,0.9245,0.0329,0.8702,0.9643
grid,k2,6,Pixel AUROC,0.9009,0.0532,0.8232,0.9506
grid,k2,6,Pixel AP,0.1857,0.0804,0.0645,0.2567
grid,k2,6,Pixel F1,0.2709,0.0943,0.1173,0.3562
grid,k2,6,Pixel PRO,0.7804,0.1166,0.5764,0.8897
grid,k4,5,Image AUROC,0.8749,0.0847,0.7694,0.9733
grid,k4,5,Image AP,0.9386,0.0485,0.8678,0.9922
grid,k4,5,Image F1,0.9153,0.0376,0.8615,0.9730
grid,k4,5,Pixel AUROC,0.9080,0.0377,0.8577,0.9594
grid,k4,5,Pixel AP,0.1817,0.0725,0.0934,0.2703
grid,k4,5,Pixel F1,0.2596,0.0739,0.1617,0.3502
grid,k4,5,Pixel PRO,0.7923,0.0853,0.6826,0.8975
hazelnut,k1,5,Image AUROC,0.9636,0.0304,0.9104,0.9943
hazelnut,k1,5,Image AP,0.9795,0.0170,0.9494,0.9965
hazelnut,k1,5,Image F1,0.9370,0.0378,0.8734,0.9790
hazelnut,k1,5,Pixel AUROC,0.9687,0.0130,0.9493,0.9827
hazelnut,k1,5,Pixel AP,0.4618,0.0676,0.3709,0.5400
hazelnut,k1,5,Pixel F1,0.5002,0.0615,0.4084,0.5709
hazelnut,k1,5,Pixel PRO,0.7890,0.0354,0.7314,0.8261
hazelnut,k2,6,Image AUROC,0.9982,0.0029,0.9918,1.0000
hazelnut,k2,6,Image AP,0.9989,0.0017,0.9952,1.0000
hazelnut,k2,6,Image F1,0.9940,0.0077,0.9784,1.0000
hazelnut,k2,6,Pixel AUROC,0.9772,0.0063,0.9673,0.9843
hazelnut,k2,6,Pixel AP,0.4831,0.0426,0.4155,0.5510
hazelnut,k2,6,Pixel F1,0.5253,0.0386,0.4606,0.5823
hazelnut,k2,6,Pixel PRO,0.8093,0.0190,0.7712,0.8276
hazelnut,k4,5,Image AUROC,0.9985,0.0020,0.9950,1.0000
hazelnut,k4,5,Image AP,0.9991,0.0011,0.9972,1.0000
hazelnut,k4,5,Image F1,0.9930,0.0108,0.9722,1.0000
hazelnut,k4,5,Pixel AUROC,0.9795,0.0053,0.9691,0.9833
hazelnut,k4,5,Pixel AP,0.5006,0.0422,0.4224,0.5423
hazelnut,k4,5,Pixel F1,0.5401,0.0362,0.4696,0.5658
hazelnut,k4,5,Pixel PRO,0.8131,0.0156,0.7915,0.8362
leather,k1,5,Image AUROC,1.0000,0.0000,1.0000,1.0000
leather,k1,5,Image AP,1.0000,0.0000,1.0000,1.0000
leather,k1,5,Image F1,1.0000,0.0000,1.0000,1.0000
leather,k1,5,Pixel AUROC,0.9929,0.0006,0.9922,0.9938
leather,k1,5,Pixel AP,0.4770,0.0171,0.4477,0.5011
leather,k1,5,Pixel F1,0.4990,0.0135,0.4769,0.5178
leather,k1,5,Pixel PRO,0.9740,0.0023,0.9705,0.9767
leather,k2,6,Image AUROC,1.0000,0.0000,1.0000,1.0000
leather,k2,6,Image AP,1.0000,0.0000,1.0000,1.0000
leather,k2,6,Image F1,1.0000,0.0000,1.0000,1.0000
leather,k2,6,Pixel AUROC,0.9929,0.0004,0.9921,0.9934
leather,k2,6,Pixel AP,0.4731,0.0164,0.4439,0.4967
leather,k2,6,Pixel F1,0.4984,0.0132,0.4710,0.5148
leather,k2,6,Pixel PRO,0.9734,0.0021,0.9712,0.9768
leather,k4,5,Image AUROC,1.0000,0.0000,1.0000,1.0000
leather,k4,5,Image AP,1.0000,0.0000,1.0000,1.0000
leather,k4,5,Image F1,1.0000,0.0000,1.0000,1.0000
leather,k4,5,Pixel AUROC,0.9934,0.0006,0.9924,0.9939
leather,k4,5,Pixel AP,0.4935,0.0364,0.4365,0.5443
leather,k4,5,Pixel F1,0.5151,0.0214,0.4870,0.5479
leather,k4,5,Pixel PRO,0.9721,0.0041,0.9659,0.9783
metal_nut,k1,5,Image AUROC,0.8459,0.0426,0.7903,0.8998
metal_nut,k1,5,Image AP,0.9597,0.0127,0.9431,0.9758
metal_nut,k1,5,Image F1,0.9203,0.0099,0.9082,0.9375
metal_nut,k1,5,Pixel AUROC,0.9465,0.0132,0.9224,0.9617
metal_nut,k1,5,Pixel AP,0.7807,0.0372,0.7321,0.8261
metal_nut,k1,5,Pixel F1,0.7230,0.0340,0.6656,0.7648
metal_nut,k1,5,Pixel PRO,0.7931,0.0370,0.7218,0.8283
metal_nut,k2,6,Image AUROC,0.9556,0.0123,0.9360,0.9726
metal_nut,k2,6,Image AP,0.9894,0.0029,0.9846,0.9939
metal_nut,k2,6,Image F1,0.9503,0.0095,0.9388,0.9634
metal_nut,k2,6,Pixel AUROC,0.9768,0.0056,0.9653,0.9823
metal_nut,k2,6,Pixel AP,0.8767,0.0224,0.8324,0.9049
metal_nut,k2,6,Pixel F1,0.8220,0.0195,0.7823,0.8403
metal_nut,k2,6,Pixel PRO,0.8887,0.0255,0.8572,0.9327
metal_nut,k4,5,Image AUROC,0.9928,0.0060,0.9824,0.9980
metal_nut,k4,5,Image AP,0.9983,0.0013,0.9960,0.9995
metal_nut,k4,5,Image F1,0.9829,0.0104,0.9626,0.9894
metal_nut,k4,5,Pixel AUROC,0.9854,0.0033,0.9789,0.9875
metal_nut,k4,5,Pixel AP,0.9092,0.0174,0.8753,0.9215
metal_nut,k4,5,Pixel F1,0.8603,0.0132,0.8343,0.8700
metal_nut,k4,5,Pixel PRO,0.9234,0.0063,0.9160,0.9342
pill,k1,5,Image AUROC,0.8765,0.0362,0.8224,0.9332
pill,k1,5,Image AP,0.9751,0.0080,0.9641,0.9877
pill,k1,5,Image F1,0.9310,0.0097,0.9169,0.9470
pill,k1,5,Pixel AUROC,0.9710,0.0132,0.9453,0.9801
pill,k1,5,Pixel AP,0.7652,0.0529,0.6617,0.8101
pill,k1,5,Pixel F1,0.7190,0.0402,0.6423,0.7592
pill,k1,5,Pixel PRO,0.9264,0.0336,0.8621,0.9503
pill,k2,6,Image AUROC,0.9135,0.0169,0.8797,0.9332
pill,k2,6,Image AP,0.9827,0.0040,0.9744,0.9868
pill,k2,6,Image F1,0.9389,0.0086,0.9231,0.9474
pill,k2,6,Pixel AUROC,0.9802,0.0043,0.9747,0.9854
pill,k2,6,Pixel AP,0.7960,0.0269,0.7654,0.8312
pill,k2,6,Pixel F1,0.7409,0.0184,0.7210,0.7695
pill,k2,6,Pixel PRO,0.9496,0.0073,0.9435,0.9622
pill,k4,5,Image AUROC,0.9388,0.0074,0.9313,0.9523
pill,k4,5,Image AP,0.9880,0.0018,0.9860,0.9908
pill,k4,5,Image F1,0.9558,0.0041,0.9504,0.9609
pill,k4,5,Pixel AUROC,0.9845,0.0022,0.9826,0.9888
pill,k4,5,Pixel AP,0.8157,0.0150,0.8005,0.8422
pill,k4,5,Pixel F1,0.7509,0.0129,0.7382,0.7736
pill,k4,5,Pixel PRO,0.9566,0.0052,0.9488,0.9649
screw,k1,5,Image AUROC,0.8154,0.0337,0.7590,0.8602
screw,k1,5,Image AP,0.9296,0.0160,0.9074,0.9536
screw,k1,5,Image F1,0.8768,0.0094,0.8655,0.8915
screw,k1,5,Pixel AUROC,0.9670,0.0095,0.9551,0.9795
screw,k1,5,Pixel AP,0.1628,0.0513,0.1020,0.2242
screw,k1,5,Pixel F1,0.2611,0.0494,0.2000,0.3235
screw,k1,5,Pixel PRO,0.8703,0.0219,0.8383,0.8963
screw,k2,6,Image AUROC,0.8546,0.0444,0.7807,0.9248
screw,k2,6,Image AP,0.9478,0.0181,0.9186,0.9735
screw,k2,6,Image F1,0.8823,0.0146,0.8706,0.9136
screw,k2,6,Pixel AUROC,0.9726,0.0060,0.9655,0.9824
screw,k2,6,Pixel AP,0.1946,0.0285,0.1683,0.2485
screw,k2,6,Pixel F1,0.2976,0.0259,0.2727,0.3404
screw,k2,6,Pixel PRO,0.8925,0.0207,0.8678,0.9302
screw,k4,5,Image AUROC,0.8806,0.0460,0.8006,0.9322
screw,k4,5,Image AP,0.9568,0.0170,0.9307,0.9768
screw,k4,5,Image F1,0.9028,0.0206,0.8645,0.9244
screw,k4,5,Pixel AUROC,0.9649,0.0232,0.9211,0.9823
screw,k4,5,Pixel AP,0.2407,0.0550,0.1406,0.3043
screw,k4,5,Pixel F1,0.3227,0.0414,0.2476,0.3727
screw,k4,5,Pixel PRO,0.8792,0.0603,0.7624,0.9270
tile,k1,5,Image AUROC,0.9907,0.0045,0.9852,0.9960
tile,k1,5,Image AP,0.9968,0.0014,0.9951,0.9985
tile,k1,5,Image F1,0.9808,0.0023,0.9762,0.9822
tile,k1,5,Pixel AUROC,0.9572,0.0029,0.9520,0.9606
tile,k1,5,Pixel AP,0.5736,0.0217,0.5473,0.6095
