dataset,category,mode,k_shot,seed,Image AUROC,Image AP,Image F1,Pixel AUROC,Pixel AP,Pixel F1,Pixel PRO
simplenet,screw,k4,4,123,0.8813,0.9584,0.9012,0.9211,0.1406,0.2476,0.7624
simplenet,screw,k4,4,456,0.9322,0.9768,0.9244,0.9823,0.3043,0.3727,0.9158
simplenet,screw,k4,4,789,0.9180,0.9722,0.9098,0.9822,0.2701,0.3384,0.9270
simplenet,tile,k1,1,0,0.9852,0.9951,0.9762,0.9591,0.6095,0.6767,0.9173
simplenet,tile,k1,1,42,0.9960,0.9985,0.9818,0.9520,0.5473,0.6483,0.9169
simplenet,tile,k1,1,123,0.9903,0.9966,0.9820,0.9574,0.5677,0.6647,0.9179
simplenet,tile,k1,1,456,0.9957,0.9983,0.9822,0.9570,0.5588,0.6628,0.9201
simplenet,tile,k1,1,789,0.9863,0.9956,0.9820,0.9606,0.5848,0.6679,0.9223
simplenet,tile,k2,2,0,0.9874,0.9955,0.9762,0.9654,0.6373,0.6839,0.9153
simplenet,tile,k2,2,42,0.9939,0.9977,0.9765,0.9577,0.5724,0.6546,0.9167
simplenet,tile,k2,2,123,0.9895,0.9963,0.9820,0.9632,0.6042,0.6691,0.9143
simplenet,tile,k2,2,456,0.9935,0.9977,0.9820,0.9601,0.5807,0.6678,0.9169
simplenet,tile,k2,2,789,0.9917,0.9971,0.9820,0.9620,0.5857,0.6626,0.9173
simplenet,tile,k2,2,789,0.9917,0.9971,0.9820,0.9620,0.5857,0.6626,0.9173
simplenet,tile,k4,4,0,0.9917,0.9968,0.9759,0.9678,0.6622,0.6937,0.9248
simplenet,tile,k4,4,42,0.9881,0.9954,0.9701,0.9519,0.5601,0.6481,0.9169
simplenet,tile,k4,4,123,0.9921,0.9972,0.9820,0.9656,0.6202,0.6798,0.9195
simplenet,tile,k4,4,456,0.9957,0.9984,0.9820,0.9660,0.6460,0.6890,0.9174
simplenet,tile,k4,4,789,0.9968,0.9988,0.9820,0.9587,0.5793,0.6422,0.9090
simplenet,toothbrush,k1,1,0,0.9583,0.9852,0.9310,0.9818,0.4584,0.5659,0.9032
simplenet,toothbrush,k1,1,42,0.9806,0.9933,0.9667,0.9775,0.3918,0.5179,0.8832
simplenet,toothbrush,k1,1,123,0.8833,0.9587,0.8824,0.9793,0.4793,0.5552,0.8753
simplenet,toothbrush,k1,1,456,0.9583,0.9848,0.9286,0.9847,0.4788,0.5806,0.9128
simplenet,toothbrush,k1,1,789,0.9861,0.9952,0.9831,0.9837,0.4473,0.5516,0.9145
simplenet,toothbrush,k2,2,0,0.9806,0.9927,0.9524,0.9848,0.4586,0.5581,0.9145
simplenet,toothbrush,k2,2,42,0.9972,0.9989,0.9836,0.9866,0.4399,0.5450,0.9271
simplenet,toothbrush,k2,2,123,0.8722,0.9547,0.8824,0.9749,0.4559,0.5503,0.8513
simplenet,toothbrush,k2,2,456,0.9694,0.9889,0.9492,0.9849,0.4608,0.5653,0.9193
simplenet,toothbrush,k2,2,789,0.9833,0.9938,0.9655,0.9838,0.4406,0.5429,0.9146
simplenet,toothbrush,k2,2,789,0.9833,0.9938,0.9655,0.9838,0.4406,0.5429,0.9146
simplenet,toothbrush,k4,4,0,0.9750,0.9909,0.9508,0.9820,0.4654,0.5502,0.9050
simplenet,toothbrush,k4,4,42,0.9917,0.9970,0.9831,0.9852,0.4276,0.5288,0.9328
simplenet,toothbrush,k4,4,123,0.9889,0.9957,0.9677,0.9858,0.4635,0.5602,0.9169
simplenet,toothbrush,k4,4,456,0.9639,0.9873,0.9474,0.9815,0.4142,0.5315,0.9067
simplenet,toothbrush,k4,4,789,1.0000,1.0000,1.0000,0.9864,0.4315,0.5326,0.9331
simplenet,transistor,k1,1,0,0.7042,0.6544,0.6549,0.7885,0.2983,0.3378,0.6276
simplenet,transistor,k1,1,42,0.8987,0.8675,0.7912,0.9016,0.5353,0.5203,0.8013
simplenet,transistor,k1,1,123,0.9142,0.9140,0.8642,0.8936,0.5192,0.5058,0.7868
simplenet,transistor,k1,1,456,0.7696,0.7213,0.6604,0.7314,0.3185,0.3466,0.5338
simplenet,transistor,k1,1,789,0.6650,0.5969,0.6435,0.4755,0.0838,0.1161,0.2061
simplenet,transistor,k2,2,0,0.7438,0.7330,0.6667,0.8725,0.4482,0.4346,0.7570
simplenet,transistor,k2,2,42,0.9675,0.9590,0.8800,0.9246,0.5798,0.5536,0.8608
simplenet,transistor,k2,2,123,0.9508,0.9467,0.8718,0.9265,0.5907,0.5586,0.8652
simplenet,transistor,k2,2,456,0.7308,0.7056,0.6435,0.7813,0.3851,0.4145,0.6344
simplenet,transistor,k2,2,789,0.9154,0.9003,0.8140,0.9199,0.5474,0.5144,0.8579
simplenet,transistor,k2,2,789,0.9071,0.8890,0.7857,0.8862,0.5105,0.4997,0.8076
simplenet,transistor,k4,4,0,0.8079,0.7947,0.7000,0.8619,0.4573,0.4548,0.7646
simplenet,transistor,k4,4,42,0.9829,0.9787,0.9351,0.9487,0.6313,0.5901,0.9049
simplenet,transistor,k4,4,123,0.9679,0.9522,0.8966,0.9411,0.5986,0.5700,0.8863
simplenet,transistor,k4,4,456,0.9629,0.9626,0.9231,0.8963,0.5306,0.5327,0.8046
simplenet,transistor,k4,4,789,0.9571,0.9388,0.8889,0.9324,0.5812,0.5445,0.8617
simplenet,wood,k1,1,0,0.9921,0.9975,0.9836,0.9295,0.4924,0.5168,0.8452
simplenet,wood,k1,1,42,0.9895,0.9968,0.9672,0.9383,0.4749,0.5003,0.8668
simplenet,wood,k1,1,123,0.9895,0.9969,0.9752,0.9449,0.5045,0.5237,0.8708
simplenet,wood,k1,1,456,0.9895,0.9967,0.9756,0.9230,0.4458,0.4833,0.8468
simplenet,wood,k1,1,789,0.9895,0.9967,0.9756,0.9378,0.4706,0.4967,0.8717
simplenet,wood,k2,2,0,0.9956,0.9987,0.9833,0.9416,0.4903,0.5028,0.8516
simplenet,wood,k2,2,42,0.9868,0.9959,0.9677,0.9466,0.4879,0.5058,0.8784
simplenet,wood,k2,2,123,0.9886,0.9966,0.9667,0.9379,0.4789,0.5076,0.8636
simplenet,wood,k2,2,456,0.9974,0.9992,0.9917,0.9325,0.4639,0.4991,0.8447
simplenet,wood,k2,2,789,0.9904,0.9970,0.9756,0.9364,0.4649,0.4845,0.8626
simplenet,wood,k2,2,789,0.9904,0.9970,0.9756,0.9373,0.4643,0.4856,0.8706
simplenet,wood,k4,4,0,0.9921,0.9976,0.9752,0.9318,0.4495,0.4869,0.8514
simplenet,wood,k4,4,42,0.9886,0.9965,0.9677,0.9453,0.4809,0.4996,0.8671
simplenet,wood,k4,4,123,0.9974,0.9992,0.9916,0.9418,0.4840,0.5065,0.8624
simplenet,wood,k4,4,456,0.9991,0.9997,0.9917,0.9001,0.3945,0.4742,0.8138
simplenet,wood,k4,4,789,0.9947,0.9984,0.9756,0.9448,0.4745,0.4958,0.8669
simplenet,zipper,k1,1,0,0.9627,0.9882,0.9714,0.9842,0.6147,0.6301,0.9513
simplenet,zipper,k1,1,42,0.9903,0.9973,0.9752,0.9796,0.5560,0.6050,0.9367
simplenet,zipper,k1,1,123,0.9908,0.9975,0.9874,0.9765,0.5577,0.5865,0.9315
simplenet,zipper,k1,1,456,0.9638,0.9883,0.9661,0.9828,0.5847,0.6231,0.9488
simplenet,zipper,k1,1,789,0.9622,0.9887,0.9528,0.9821,0.5714,0.6070,0.9455
simplenet,zipper,k2,2,0,0.9609,0.9862,0.9712,0.9864,0.6226,0.6445,0.9539
simplenet,zipper,k2,2,42,0.9919,0.9976,0.9835,0.9821,0.5825,0.6192,0.9453
simplenet,zipper,k2,2,123,0.9924,0.9979,0.9835,0.9836,0.6001,0.6331,0.9511
simplenet,zipper,k2,2,456,0.9879,0.9965,0.9794,0.9875,0.6589,0.6667,0.9637
simplenet,zipper,k2,2,789,0.9929,0.9980,0.9874,0.9843,0.6255,0.6342,0.9504
simplenet,zipper,k2,2,789,0.9905,0.9972,0.9832,0.9859,0.6245,0.6401,0.9518
simplenet,zipper,k4,4,0,0.9850,0.9960,0.9752,0.9835,0.6166,0.6420,0.9467
simplenet,zipper,k4,4,42,0.9966,0.9991,0.9874,0.9860,0.6221,0.6471,0.9548
simplenet,zipper,k4,4,123,0.9947,0.9986,0.9874,0.9858,0.6436,0.6512,0.9562
simplenet,zipper,k4,4,456,0.9856,0.9955,0.9794,0.9891,0.6746,0.6780,0.9673
simplenet,zipper,k4,4,789,0.9932,0.9980,0.9876,0.9879,0.6527,0.6548,0.9608
