dataset,category,mode,n_seeds,metric,mean,std,min,max
mvtec,carpet,k4,5,Image AP,1.0000,0.0000,1.0000,1.0000
mvtec,carpet,k4,5,Image F1,1.0000,0.0000,1.0000,1.0000
mvtec,carpet,k4,5,Pixel AUROC,0.9955,0.0002,0.9952,0.9959
mvtec,carpet,k4,5,Pixel AP,0.7773,0.0095,0.7673,0.7938
mvtec,carpet,k4,5,Pixel F1,0.7072,0.0106,0.6945,0.7214
mvtec,carpet,k4,5,Pixel PRO,0.9800,0.0009,0.9784,0.9809
mvtec,grid,k1,5,Image AUROC,0.9946,0.0030,0.9916,1.0000
mvtec,grid,k1,5,Image AP,0.9983,0.0010,0.9974,1.0000
mvtec,grid,k1,5,Image F1,0.9911,0.0057,0.9821,1.0000
mvtec,grid,k1,5,Pixel AUROC,0.9649,0.0040,0.9589,0.9697
mvtec,grid,k1,5,Pixel AP,0.3225,0.0211,0.2928,0.3551
mvtec,grid,k1,5,Pixel F1,0.3849,0.0180,0.3673,0.4185
mvtec,grid,k1,5,Pixel PRO,0.8601,0.0186,0.8328,0.8830
mvtec,grid,k2,5,Image AUROC,0.9982,0.0019,0.9950,1.0000
mvtec,grid,k2,5,Image AP,0.9993,0.0007,0.9982,1.0000
mvtec,grid,k2,5,Image F1,0.9929,0.0067,0.9821,1.0000
mvtec,grid,k2,5,Pixel AUROC,0.9755,0.0085,0.9610,0.9835
mvtec,grid,k2,5,Pixel AP,0.3224,0.0218,0.2999,0.3573
mvtec,grid,k2,5,Pixel F1,0.3846,0.0111,0.3695,0.3993
mvtec,grid,k2,5,Pixel PRO,0.9063,0.0257,0.8577,0.9272
mvtec,grid,k4,5,Image AUROC,0.9988,0.0011,0.9975,1.0000
mvtec,grid,k4,5,Image AP,0.9996,0.0004,0.9991,1.0000
mvtec,grid,k4,5,Image F1,0.9947,0.0043,0.9912,1.0000
mvtec,grid,k4,5,Pixel AUROC,0.9780,0.0078,0.9645,0.9858
mvtec,grid,k4,5,Pixel AP,0.3225,0.0326,0.2641,0.3559
mvtec,grid,k4,5,Pixel F1,0.3792,0.0167,0.3476,0.3947
mvtec,grid,k4,5,Pixel PRO,0.9140,0.0237,0.8747,0.9379
mvtec,hazelnut,k1,5,Image AUROC,0.9573,0.0414,0.8914,1.0000
mvtec,hazelnut,k1,5,Image AP,0.9760,0.0232,0.9390,1.0000
mvtec,hazelnut,k1,5,Image F1,0.9376,0.0447,0.8714,1.0000
mvtec,hazelnut,k1,5,Pixel AUROC,0.9860,0.0132,0.9602,0.9948
mvtec,hazelnut,k1,5,Pixel AP,0.6979,0.1519,0.4063,0.8269
mvtec,hazelnut,k1,5,Pixel F1,0.6822,0.1388,0.4258,0.8018
mvtec,hazelnut,k1,5,Pixel PRO,0.8948,0.0477,0.8047,0.9322
mvtec,hazelnut,k2,5,Image AUROC,0.9868,0.0157,0.9625,1.0000
mvtec,hazelnut,k2,5,Image AP,0.9927,0.0085,0.9807,1.0000
mvtec,hazelnut,k2,5,Image F1,0.9730,0.0284,0.9275,1.0000
mvtec,hazelnut,k2,5,Pixel AUROC,0.9940,0.0014,0.9920,0.9959
mvtec,hazelnut,k2,5,Pixel AP,0.7989,0.0296,0.7571,0.8406
mvtec,hazelnut,k2,5,Pixel F1,0.7721,0.0282,0.7295,0.8055
mvtec,hazelnut,k2,5,Pixel PRO,0.9318,0.0156,0.9125,0.9526
mvtec,hazelnut,k4,5,Image AUROC,0.9989,0.0023,0.9943,1.0000
mvtec,hazelnut,k4,5,Image AP,0.9994,0.0013,0.9968,1.0000
mvtec,hazelnut,k4,5,Image F1,0.9944,0.0111,0.9722,1.0000
mvtec,hazelnut,k4,5,Pixel AUROC,0.9958,0.0005,0.9950,0.9964
mvtec,hazelnut,k4,5,Pixel AP,0.8211,0.0177,0.7929,0.8399
mvtec,hazelnut,k4,5,Pixel F1,0.7992,0.0124,0.7758,0.8108
mvtec,hazelnut,k4,5,Pixel PRO,0.9481,0.0100,0.9355,0.9618
mvtec,leather,k1,5,Image AUROC,1.0000,0.0000,1.0000,1.0000
mvtec,leather,k1,5,Image AP,1.0000,0.0000,1.0000,1.0000
mvtec,leather,k1,5,Image F1,1.0000,0.0000,1.0000,1.0000
mvtec,leather,k1,5,Pixel AUROC,0.9947,0.0007,0.9936,0.9956
mvtec,leather,k1,5,Pixel AP,0.4818,0.0396,0.4171,0.5356
mvtec,leather,k1,5,Pixel F1,0.5302,0.0258,0.4894,0.5623
mvtec,leather,k1,5,Pixel PRO,0.9810,0.0049,0.9756,0.9870
mvtec,leather,k2,5,Image AUROC,1.0000,0.0000,1.0000,1.0000
mvtec,leather,k2,5,Image AP,1.0000,0.0000,1.0000,1.0000
mvtec,leather,k2,5,Image F1,1.0000,0.0000,1.0000,1.0000
mvtec,leather,k2,5,Pixel AUROC,0.9948,0.0005,0.9942,0.9955
mvtec,leather,k2,5,Pixel AP,0.5034,0.0407,0.4397,0.5557
mvtec,leather,k2,5,Pixel F1,0.5284,0.0172,0.5079,0.5509
mvtec,leather,k2,5,Pixel PRO,0.9817,0.0033,0.9790,0.9868
mvtec,leather,k4,5,Image AUROC,1.0000,0.0000,1.0000,1.0000
mvtec,leather,k4,5,Image AP,1.0000,0.0000,1.0000,1.0000
mvtec,leather,k4,5,Image F1,1.0000,0.0000,1.0000,1.0000
mvtec,leather,k4,5,Pixel AUROC,0.9946,0.0004,0.9941,0.9952
mvtec,leather,k4,5,Pixel AP,0.5015,0.0321,0.4442,0.5409
mvtec,leather,k4,5,Pixel F1,0.5233,0.0120,0.5077,0.5431
mvtec,leather,k4,5,Pixel PRO,0.9814,0.0036,0.9756,0.9859
mvtec,metal_nut,k1,5,Image AUROC,0.9997,0.0004,0.9990,1.0000
mvtec,metal_nut,k1,5,Image AP,0.9999,0.0001,0.9998,1.0000
mvtec,metal_nut,k1,5,Image F1,0.9979,0.0026,0.9947,1.0000
mvtec,metal_nut,k1,5,Pixel AUROC,0.9728,0.0021,0.9700,0.9761
mvtec,metal_nut,k1,5,Pixel AP,0.9051,0.0097,0.8886,0.9158
mvtec,metal_nut,k1,5,Pixel F1,0.8455,0.0110,0.8292,0.8608
mvtec,metal_nut,k1,5,Pixel PRO,0.8939,0.0049,0.8876,0.8988
mvtec,metal_nut,k2,5,Image AUROC,1.0000,0.0000,1.0000,1.0000
mvtec,metal_nut,k2,5,Image AP,1.0000,0.0000,1.0000,1.0000
mvtec,metal_nut,k2,5,Image F1,1.0000,0.0000,1.0000,1.0000
mvtec,metal_nut,k2,5,Pixel AUROC,0.9804,0.0014,0.9786,0.9822
mvtec,metal_nut,k2,5,Pixel AP,0.9341,0.0052,0.9281,0.9430
mvtec,metal_nut,k2,5,Pixel F1,0.8779,0.0074,0.8686,0.8895
mvtec,metal_nut,k2,5,Pixel PRO,0.9059,0.0048,0.9001,0.9123
mvtec,metal_nut,k4,5,Image AUROC,1.0000,0.0000,1.0000,1.0000
mvtec,metal_nut,k4,5,Image AP,1.0000,0.0000,1.0000,1.0000
mvtec,metal_nut,k4,5,Image F1,1.0000,0.0000,1.0000,1.0000
mvtec,metal_nut,k4,5,Pixel AUROC,0.9836,0.0002,0.9833,0.9838
mvtec,metal_nut,k4,5,Pixel AP,0.9445,0.0024,0.9414,0.9475
mvtec,metal_nut,k4,5,Pixel F1,0.8988,0.0026,0.8956,0.9012
mvtec,metal_nut,k4,5,Pixel PRO,0.9168,0.0077,0.9020,0.9228
mvtec,pill,k1,5,Image AUROC,0.9701,0.0071,0.9626,0.9820
mvtec,pill,k1,5,Image AP,0.9944,0.0014,0.9928,0.9967
mvtec,pill,k1,5,Image F1,0.9686,0.0047,0.9622,0.9754
mvtec,pill,k1,5,Pixel AUROC,0.9829,0.0053,0.9739,0.9883
mvtec,pill,k1,5,Pixel AP,0.8140,0.0336,0.7531,0.8469
mvtec,pill,k1,5,Pixel F1,0.7433,0.0280,0.6940,0.7729
mvtec,pill,k1,5,Pixel PRO,0.9715,0.0031,0.9671,0.9766
mvtec,pill,k2,5,Image AUROC,0.9799,0.0017,0.9774,0.9823
mvtec,pill,k2,5,Image AP,0.9964,0.0003,0.9959,0.9967
mvtec,pill,k2,5,Image F1,0.9746,0.0042,0.9682,0.9790
mvtec,pill,k2,5,Pixel AUROC,0.9891,0.0020,0.9863,0.9914
mvtec,pill,k2,5,Pixel AP,0.8369,0.0154,0.8211,0.8576
mvtec,pill,k2,5,Pixel F1,0.7621,0.0170,0.7411,0.7824
mvtec,pill,k2,5,Pixel PRO,0.9816,0.0014,0.9794,0.9836
mvtec,pill,k4,5,Image AUROC,0.9848,0.0026,0.9804,0.9872
mvtec,pill,k4,5,Image AP,0.9972,0.0005,0.9964,0.9976
mvtec,pill,k4,5,Image F1,0.9753,0.0044,0.9686,0.9825
mvtec,pill,k4,5,Pixel AUROC,0.9905,0.0013,0.9881,0.9916
mvtec,pill,k4,5,Pixel AP,0.8347,0.0173,0.8179,0.8594
mvtec,pill,k4,5,Pixel F1,0.7568,0.0223,0.7287,0.7898
mvtec,pill,k4,5,Pixel PRO,0.9813,0.0022,0.9773,0.9839
mvtec,screw,k1,5,Image AUROC,0.8531,0.0472,0.7969,0.9367
mvtec,screw,k1,5,Image AP,0.9482,0.0182,0.9205,0.9770
mvtec,screw,k1,5,Image F1,0.8819,0.0243,0.8594,0.9262
mvtec,screw,k1,5,Pixel AUROC,0.9789,0.0036,0.9727,0.9823
mvtec,screw,k1,5,Pixel AP,0.3108,0.0580,0.2383,0.3821
mvtec,screw,k1,5,Pixel F1,0.3884,0.0353,0.3439,0.4419
mvtec,screw,k1,5,Pixel PRO,0.9012,0.0234,0.8601,0.9275
mvtec,screw,k2,5,Image AUROC,0.8995,0.0313,0.8627,0.9469
mvtec,screw,k2,5,Image AP,0.9651,0.0115,0.9502,0.9825
mvtec,screw,k2,5,Image F1,0.9022,0.0168,0.8819,0.9258
mvtec,screw,k2,5,Pixel AUROC,0.9811,0.0029,0.9759,0.9844
mvtec,screw,k2,5,Pixel AP,0.3067,0.0423,0.2495,0.3606
mvtec,screw,k2,5,Pixel F1,0.3700,0.0354,0.3295,0.4249
mvtec,screw,k2,5,Pixel PRO,0.9226,0.0113,0.9022,0.9353
mvtec,screw,k4,5,Image AUROC,0.9106,0.0204,0.8819,0.9391
mvtec,screw,k4,5,Image AP,0.9705,0.0056,0.9642,0.9790
mvtec,screw,k4,5,Image F1,0.9095,0.0186,0.8803,0.9360
mvtec,screw,k4,5,Pixel AUROC,0.9856,0.0009,0.9843,0.9872
mvtec,screw,k4,5,Pixel AP,0.3881,0.0222,0.3681,0.4216
mvtec,screw,k4,5,Pixel F1,0.4272,0.0180,0.4033,0.4527
mvtec,screw,k4,5,Pixel PRO,0.9358,0.0069,0.9287,0.9479
mvtec,tile,k1,5,Image AUROC,1.0000,0.0000,1.0000,1.0000
mvtec,tile,k1,5,Image AP,1.0000,0.0000,1.0000,1.0000
mvtec,tile,k1,5,Image F1,1.0000,0.0000,1.0000,1.0000
mvtec,tile,k1,5,Pixel AUROC,0.9816,0.0020,0.9781,0.9836
mvtec,tile,k1,5,Pixel AP,0.8871,0.0051,0.8783,0.8934
mvtec,tile,k1,5,Pixel F1,0.7980,0.0048,0.7941,0.8068
mvtec,tile,k1,5,Pixel PRO,0.9110,0.0070,0.8974,0.9169
mvtec,tile,k2,5,Image AUROC,1.0000,0.0000,1.0000,1.0000
mvtec,tile,k2,5,Image AP,1.0000,0.0000,1.0000,1.0000
mvtec,tile,k2,5,Image F1,1.0000,0.0000,1.0000,1.0000
mvtec,tile,k2,5,Pixel AUROC,0.9840,0.0026,0.9795,0.9867
mvtec,tile,k2,5,Pixel AP,0.8888,0.0120,0.8712,0.9076
mvtec,tile,k2,5,Pixel F1,0.7965,0.0134,0.7822,0.8196
